bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1182221,831340,2019-03-27,House,On agreeing to the Beyer amendment (A006) H.Amdt.114 RC# 132,406,24,7,0,437
1184982,808474,2019-02-25,Senate,Cloture on the motion to proceed RC# 27,53,44,3,0,100
1184982,934872,2020-02-25,Senate,Cloture on the motion to proceed to the measure RC# 58,56,41,0,3,100
1194209,834435,2019-04-02,Senate,Cloture on the motion to proceed to the measure RC# 57,51,48,1,0,100
1194209,834436,2019-04-02,Senate,Motion by Senator McConnell to reconsider the vote by which cloture on the motion to proceed to S. Res. 50 was not invoked (Record Vote No. 57) entered in Senate. RC# 57,51,48,1,0,100
1194222,795457,2019-02-07,House,On ordering the previous question RC# 68,227,189,16,0,432
1194222,795458,2019-02-07,House,On agreeing to the resolution RC# 69,225,193,14,0,432
1194231,799778,2019-02-13,House,"On motion to suspend the rules and pass the bill, as amended RC# 84",418,0,13,0,431
1194233,868602,2019-05-20,House,On motion to suspend the rules and agree to the resolution RC# 219,393,0,38,0,431
1194255,866264,2019-05-16,House,On agreeing to the McKinley amendment (A002) H.Amdt.221 RC# 210,189,230,18,0,437
1194255,866265,2019-05-16,House,On agreeing to the Harder (CA) amendment (A006) H.Amdt.225 RC# 211,243,174,20,0,437
1194255,866266,2019-05-16,House,On agreeing to the Wexton amendment (A021) H.Amdt.240 RC# 212,232,185,20,0,437
1194255,866267,2019-05-16,House,On motion to recommit with instructions RC# 213,188,228,15,0,431
1194255,866268,2019-05-16,House,On passage RC# 214,234,183,15,0,432
1194259,862355,2019-05-09,House,On agreeing to the Holding amendment (A006) H.Amdt.203 RC# 192,184,237,16,0,437
1194259,862356,2019-05-09,House,On agreeing to the Brown (MD) amendment (A002) H.Amdt.199 RC# 191,351,70,16,0,437
1194259,862357,2019-05-09,House,On agreeing to the Malinowski amendment (A010) H.Amdt.207 RC# 193,302,117,18,0,437
1194259,862358,2019-05-09,House,On agreeing to the Wild amendment (A011) H.Amdt.208 RC# 194,308,112,17,0,437
1194259,862359,2019-05-09,House,On motion to recommit with instructions RC# 195,182,231,18,0,431
1194259,862360,2019-05-09,House,On passage RC# 196,230,183,18,0,431
1196633,889622,2019-07-10,House,"On motion to suspend the rules and pass the bill, as amended RC# 437",365,65,2,0,432
1196924,797393,2019-02-11,House,On motion to suspend the rules and pass the bill RC# 76,377,3,51,0,431
1198245,811701,2019-02-28,House,On agreeing to the Schneider amendment (A002) H.Amdt.50 RC# 100,282,144,11,0,437
1198245,811702,2019-02-28,House,On agreeing to the Van Drew amendment (A005) H.Amdt.53 RC# 101,234,193,10,0,437
1198245,811703,2019-02-28,House,On motion to recommit with instructions RC# 102,194,232,5,0,431
1198245,811704,2019-02-28,House,On passage RC# 103,228,198,6,0,432
1198249,818744,2019-03-11,House,On motion to suspend the rules and pass the bill RC# 119,387,22,22,0,431
1199686,944656,2020-03-05,House,On agreeing to the Cisneros amendment (A006) H.Amdt.809 RC# 87,399,1,0,35,435
1199686,944657,2020-03-05,House,On agreeing to the Mucarsel-Powell amendment (A008) H.Amdt.811 RC# 88,403,0,0,32,435
1199686,944658,2020-03-05,House,On motion to recommit with instructions RC# 89,227,175,0,27,429
1199686,944659,2020-03-05,House,On passage RC# 90,230,171,0,28,429
1199693,893798,2019-09-12,House,On agreeing to the Young amendment (A001) H.Amdt.617 RC# 526,193,230,15,0,438
1199693,893799,2019-09-12,House,On agreeing to the Gosar amendment (A002) H.Amdt.618 RC# 527,184,237,17,0,438
1199693,893800,2019-09-12,House,On agreeing to the Gosar amendment (A003) as modified H.Amdt.619 RC# 528,187,237,14,0,438
1199693,893801,2019-09-12,House,On motion to recommit with instructions RC# 529,189,229,14,0,432
1199693,893802,2019-09-12,House,On passage RC# 530,225,193,14,0,432
1199701,799685,2019-02-13,House,On ordering the previous question RC# 78,227,195,9,0,431
1199701,799686,2019-02-13,House,On agreeing to the resolution RC# 79,228,193,10,0,431
1199707,831483,2019-03-28,House,On agreeing to the resolution RC# 135,238,185,9,0,432
1203291,829151,2019-03-26,Senate,Cloture on the motion to proceed to the measure RC# 52,0,57,43,0,100
1205611,903224,2020-01-15,House,On agreeing to the Allen amendment (A003) H.Amdt.750 RC# 19,163,257,0,15,435
1205611,903225,2020-01-15,House,On motion to recommit with instructions RC# 20,196,220,0,13,429
1205611,903226,2020-01-15,House,On passage RC# 21,261,155,0,13,429
1205615,800961,2019-02-14,House,On ordering the previous question RC# 85,229,195,7,0,431
1205615,800962,2019-02-14,House,On agreeing to the resolution RC# 86,230,196,5,0,431
1205663,838647,2019-04-08,House,On motion to suspend the rules and agree to the resolution RC# 157,386,0,45,0,431
1211247,899746,2019-11-21,House,On agreeing to the Harder (CA) amendment (A004) H.Amdt.689 RC# 638,414,1,21,0,436
1211247,899747,2019-11-21,House,On agreeing to the Byrne amendment (A003) H.Amdt.688 RC# 637,177,238,21,0,436
1211247,899748,2019-11-21,House,On agreeing to the Wexton amendment (A009) H.Amdt.694 RC# 639,415,1,20,0,436
1211247,899749,2019-11-21,House,On agreeing to the Delgado amendment (A010) H.Amdt.695 RC# 640,242,176,18,0,436
1211247,899750,2019-11-21,House,On motion to table the motion to appeal the ruling of the chair RC# 641,222,188,20,0,430
1211247,899751,2019-11-21,House,On passage RC# 642,251,158,21,0,430
1215667,809423,2019-02-26,House,On passage RC# 94,245,182,5,0,432
1215667,822387,2019-03-14,Senate,Passed Senate without amendment RC# 49,59,41,0,0,100
1215667,829522,2019-03-26,House,"On passage, the objections of the President to the contrary notwithstanding RC# 127",248,181,3,0,432
1217254,809368,2019-02-26,House,On ordering the previous question RC# 90,229,191,11,0,431
1217254,809369,2019-02-26,House,On agreeing to the resolution RC# 91,227,194,10,0,431
1217263,838765,2019-04-08,House,On motion to suspend the rules and pass the bill RC# 158,329,56,46,0,431
1217270,809534,2019-02-26,House,On ordering the previous question RC# 92,228,193,10,0,431
1217270,809535,2019-02-26,House,On agreeing to the resolution RC# 93,229,193,9,0,431
1221988,896001,2019-10-30,House,On agreeing to the Gosar amendment (A001) H.Amdt.652 RC# 598,185,240,12,0,437
1221988,896002,2019-10-30,House,On agreeing to the Gosar amendment (A002) H.Amdt.653 RC# 599,178,243,16,0,437
1221988,896003,2019-10-30,House,On agreeing to the Gosar amendment (A003) H.Amdt.654 RC# 600,186,237,14,0,437
1221988,896004,2019-10-30,House,On motion to recommit with instructions RC# 601,196,226,9,0,431
1221988,896005,2019-10-30,House,On passage RC# 602,236,185,10,0,431
1222012,900014,2019-12-06,House,On motion to recommit with instructions RC# 653,200,215,15,0,430
1222012,900015,2019-12-06,House,On passage RC# 654,228,187,16,0,431
1222013,982894,2020-12-03,House,"On motion to suspend the rules and pass the bill, as amended",272,114,0,44,430
1222017,814523,2019-03-05,House,On motion to suspend the rules and pass the bill RC# 104,416,0,15,0,431
1223735,820177,2019-03-12,House,"On motion to suspend the rules and agree to the resolution, as amended RC# 121",416,1,14,0,431
1223739,830157,2019-03-26,House,On motion to suspend the rules and pass the bill RC# 128,404,21,6,0,431
1227363,894504,2019-09-20,House,On agreeing to the Jordan amendment (A001) H.Amdt.621 RC# 539,161,253,26,0,440
1227363,894505,2019-09-20,House,On passage RC# 540,225,186,23,0,434
1227365,970097,2020-06-29,House,On motion to recommit with instructions RC# 123,187,223,0,20,430
1227365,970098,2020-06-29,House,On passage RC# 124,234,179,0,18,431
1227372,890245,2019-09-09,House,"On motion to suspend the rules and pass the bill, as amended RC# 515",384,23,25,0,432
1230940,815645,2019-03-06,House,On ordering the previous question RC# 106,232,191,8,0,431
1230940,815646,2019-03-06,House,On agreeing to the resolution RC# 107,232,192,7,0,431
1231002,870093,2019-05-22,House,On agreeing to the Burgess amendment (A006) H.Amdt.252 RC# 223,191,236,10,0,437
1231002,870094,2019-05-22,House,On agreeing to the Steil amendment (A002) H.Amdt.248 RC# 222,190,234,13,0,437
1231002,870095,2019-05-22,House,On agreeing to the Burgess amendment (A007) H.Amdt.253 RC# 224,192,235,10,0,437
1231002,870096,2019-05-22,House,On agreeing to the Stevens amendment (A014) H.Amdt.260 RC# 225,418,10,9,0,437
1231002,870097,2019-05-22,House,On motion to recommit with instructions RC# 227,191,231,9,0,431
1231002,870098,2019-05-22,House,On agreeing to the Green (TX) amendment (A017) H.Amdt.263 RC# 226,235,193,9,0,437
1231002,870099,2019-05-22,House,On passage RC# 228,231,191,9,0,431
1234561,822290,2019-03-14,House,On agreeing to the resolution RC# 125,420,0,11,0,431
1234599,828519,2019-03-25,House,"On motion to suspend the rules and pass the bill, as amended RC# 126",391,24,16,0,431
1234693,834785,2019-04-03,House,On agreeing to the Jeffries amendment (A001) H.Amdt.117 RC# 147,363,67,7,0,437
1234693,834786,2019-04-03,House,On agreeing to the Scanlon amendment (A002) H.Amdt.118 RC# 148,394,36,7,0,437
1234693,834787,2019-04-03,House,On agreeing to the Waters amendment (A007) H.Amdt.123 RC# 149,258,173,6,0,437
1234693,834788,2019-04-03,House,On agreeing to the Wagner amendment (A010) H.Amdt.126 RC# 150,429,0,8,0,437
1234693,836774,2019-04-04,House,On motion to recommit with instructions RC# 155,185,237,9,0,431
1234693,836775,2019-04-04,House,On passage RC# 156,263,158,10,0,431
1234693,836997,2019-04-04,House,On agreeing to the Torres Small (NM) amendment (A040) H.Amdt.156 RC# 154,425,0,12,0,437
1234699,816529,2019-03-07,House,"On motion to suspend the rules and agree to the resolution, as amended RC# 108",407,23,2,0,432
1234728,894759,2019-09-25,House,"On motion to suspend the rules and pass the bill, as amended RC# 544",321,103,9,0,433
