type_id,type,sast_bill_number,sast_bill_id,bill_id
8,Related,HB6818,1126261,963842
8,Related,HB143,896844,963815
8,Related,HB314,899950,963815
8,Related,HB372,902514,963815
8,Related,HB1101,965764,963815
8,Related,HB1304,982130,963815
8,Related,SB222,931542,963815
8,Related,SB1516,1021433,963815
8,Related,HB3278,1022687,963815
8,Related,SB381,964233,963822
8,Related,HB722,937954,963805
8,Related,HB724,938010,963805
8,Related,HB735,938007,963805
8,Related,SB248,937988,963805
8,Related,SB2488,1100012,963862
8,Related,HB1628,995751,963855
8,Related,SB3242,1124564,963832
8,Related,HB2422,1013987,963827
1,Same As,HB3839,1027082,963827
1,Same As,SB390,964127,963853
1,Same As,SB391,963898,963825
1,Same As,SB389,964148,963816
8,Related,HCR97,1037361,963816
8,Related,SB1409,1020631,963854
8,Related,HB1,1020831,963854
2,Similar To,HR619,1031807,963854
8,Related,HB2429,1014403,963873
1,Same As,SB399,963890,963875
8,Related,HB5989,1120877,963833
8,Related,SB386,963970,963870
8,Related,SB565,988052,963870
8,Related,HB469,911480,963870
1,Same As,SB384,964157,963863
8,Related,SB2256,1038030,896652
8,Related,SB1161,1014639,963865
8,Related,HB277,898530,965764
8,Related,HB1072,963815,965764
8,Related,HR210,995733,965764
8,Related,SB222,931542,965764
8,Related,HB3057,1020859,965729
8,Related,SB1880,1027232,965729
8,Related,HB7181,1131253,965729
8,Related,HB2810,1018634,965823
2,Similar To,HR616,1031659,965823
8,Related,SB1192,1015519,965874
8,Related,HB3218,1022303,965874
1,Same As,SB414,966075,965877
8,Related,SB1860,1027090,965879
1,Same As,SB1984,1028913,896742
1,Same As,SB406,966014,965726
8,Related,SB410,965960,965745
8,Related,HB3218,1022303,965745
8,Related,SB427,966044,965784
8,Related,HB2896,1019377,965784
8,Related,HB2855,1018875,965784
1,Same As,SB773,1001186,965845
8,Related,HB10,1008998,965887
2,Similar To,HR375,1018316,965887
8,Related,HB3280,1022705,965887
8,Related,HB3354,1023096,965887
8,Related,HR773,1105422,965887
8,Related,HR762,1101412,965870
8,Related,SB71,902516,896763
8,Related,SB1,1033184,896763
8,Related,SB2087,1030379,965849
8,Related,HB628,931555,965777
8,Related,HB4508,1033752,965893
8,Related,SB2268,1038343,965893
8,Related,HB747,937985,965786
8,Related,SB429,966089,965786
8,Related,SB1706,1024091,896694
1,Same As,SB397,964263,965831
8,Related,SB2581,1108273,965846
8,Related,SB115,911489,965761
8,Related,HB5674,1116366,965761
8,Related,SB2193,1034730,965761
8,Related,SB2372,1081552,965761
8,Related,SB2906,1119529,965761
8,Related,SB1585,1022811,965869
8,Related,SB1880,1027232,965869
8,Related,HB6239,1123644,965869
8,Related,SB3150,1123647,965869
8,Related,SB1446,1021096,965746
1,Same As,SB421,965906,965756
1,Same As,SB352,960012,965836
8,Related,SB805,1002971,965835
1,Same As,SB434,966029,965820
8,Related,HB516,913554,965751
8,Related,HB3003,1020590,965730
8,Related,HB4760,1053116,965803
2,Similar To,HR954,1123024,965803
8,Related,HR323,1014326,896856
8,Related,SB1085,1012934,896856
8,Related,HB1628,995751,965799
8,Related,SB1880,1027232,965799
8,Related,SB2600,1108728,965799
8,Related,HB543,913604,965866
8,Related,HB2123,1008604,965765
8,Related,SB925,1008583,965765
8,Related,HB10,1008998,965737
8,Related,HR725,1081547,965737
8,Related,HB6147,1122891,965737
8,Related,HB6746,1126077,965737
8,Related,SB168,916451,965885
8,Related,SB1361,1019704,965771
1,Same As,SB1133,1014357,965812
8,Related,SB425,966086,965728
8,Related,HB5141,1100002,965804
8,Related,SB2504,1102178,965804
8,Related,SB2497,1101352,965804
1,Same As,SB707,997382,896855
8,Related,SB1160,1014632,965867
8,Related,SB1460,1021221,965867
1,Same As,SB514,982144,965817
1,Same As,SB364,960008,965843
8,Related,SB1603,1022977,965843
2,Similar To,HB1625,995750,965843
8,Related,SB474,978925,965768
8,Related,SB1697,1023951,965768
8,Related,HB1625,995750,965768
1,Same As,HB1602,994403,965818
8,Related,SB1042,1011131,965818
1,Same As,SB254,942307,965855
8,Related,SB379,964212,965772
1,Same As,SB408,966101,965837
1,Same As,SB448,977669,965742
8,Related,SB1497,1021405,965724
8,Related,HB6194,1123259,965724
8,Related,HB1280,980707,965833
1,Same As,SB403,963943,965833
8,Related,HB6306,1123997,965833
8,Related,HB1476,989592,965833
1,Same As,SB715,997388,965759
8,Related,SB2099,1030604,965759
8,Related,HB4427,1032243,965805
8,Related,SB2082,1030204,965805
8,Related,HB4944,1083015,965805
8,Related,HB4340,1030850,965805
8,Related,HB3775,1026199,965805
1,Same As,HB1011,959996,896734
8,Related,HR299,1009964,965850
8,Related,SB801,1002918,965850
8,Related,HB629,931625,965821
8,Related,HR198,993165,965821
8,Related,SB430,965920,965826
8,Related,HB2810,1018634,965826
2,Similar To,HR616,1031659,965826
8,Related,HB4460,1033208,965889
8,Related,HB4667,1037359,965889
8,Related,HB4,1020837,965889
8,Related,SB3041,1121802,965889
8,Related,HB302,899756,965889
1,Same As,SB347,956921,965755
8,Related,HB2200,1009586,965859
8,Related,SB2081,1030212,965725
8,Related,HB5550,1114126,965725
8,Related,SB2070,1029993,965790
8,Related,SB942,1008978,965825
1,Same As,SB1437,1020894,1020796
8,Related,HB944,950498,1020796
8,Related,HB1044,961655,1020796
8,Related,HB3300,1022850,1020796
8,Related,HB3343,1022934,1020796
8,Related,SB360,959953,1020796
8,Related,SB3049,1122055,1020796
8,Related,SB3116,1123095,1020796
1,Same As,SB736,999741,967651
8,Related,SB2568,1107328,967640
8,Related,SB437,966001,967702
8,Related,SB2802,1117028,967594
8,Related,HB6313,1124056,967594
1,Same As,SB915,1008057,969684
8,Related,HB1704,997432,976602
8,Related,HR382,1019370,976602
8,Related,HB2068,1004299,976600
8,Related,HB3372,1023231,976600
8,Related,HB313,899739,976609
8,Related,HR242,1002887,977694
1,Same As,SB444,977718,977694
